customer_id,first_name,last_name,merchant_name,loan_type,loan_status,credit_score,credit_score_flag,principal_amount,principal_amount_bucket,transaction_type,channel,upi_inclined_flag
CUST-11146,Katelyn,Caldwell,,Home,Active,460,Risky,100000,low,,,Not UPI inclined
CUST-10531,Robin,Stone,Mcclain PLC,Home,Active,437,Risky,100000,low,Debit,NetBanking,Not UPI inclined
CUST-10612,Alexander,Johnson,,Home,Active,534,Risky,100000,low,,,Not UPI inclined
CUST-10351,Vanessa,Gaines,"Rice, Daniels and Jackson",Home,Active,480,Risky,5000000,medium,Debit,UPI,Not UPI inclined
CUST-10126,Douglas,Lopez,Flores-Jenkins,Home,Active,343,Risky,100000,low,Debit,ATM,Not UPI inclined
CUST-10859,Richard,Olson,,Home,Active,402,Risky,500000,low,,,Not UPI inclined
CUST-11025,Larry,Lewis,"Williams, Cameron and Holden",Home,Active,497,Risky,5000000,medium,Credit,ATM,Not UPI inclined
CUST-10969,Geoffrey,Stone,,Home,Active,566,Risky,5000000,medium,,,Not UPI inclined
CUST-11170,Kyle,Hutchinson,Adams and Sons,Home,Active,693,Average,1500000,medium,Credit,POS,Not UPI inclined
CUST-10497,Nicole,Nichols,,Home,Active,585,Risky,500000,low,,,Not UPI inclined
CUST-11348,Kayla,Sherman,Williams and Sons,Home,Active,555,Risky,100000,low,Debit,ATM,Not UPI inclined
CUST-11295,Adam,Flowers,Davis PLC,Home,Active,826,Good,5000000,medium,Credit,NetBanking,Not UPI inclined
CUST-10964,Andrea,Terry,Stephens-Ramsey,Home,Active,685,Average,100000,low,Credit,NetBanking,Not UPI inclined
CUST-10225,Betty,Martin,,Home,Active,313,Risky,100000,low,,,Not UPI inclined
CUST-10483,Barry,Hubbard,,Home,Active,552,Risky,1500000,medium,,,Not UPI inclined
CUST-11280,Ralph,Salazar,"Olsen, Sanford and Rice",Home,Active,591,Risky,5000000,medium,Debit,UPI,Not UPI inclined
CUST-10005,Joseph,Gallagher,,Home,Active,377,Risky,1500000,medium,,,Not UPI inclined
CUST-10263,Lori,Hall,,Home,Active,429,Risky,500000,low,,,Not UPI inclined
CUST-10313,Joshua,Wagner,Clark-Coleman,Home,Active,633,Risky,100000,low,Credit,NetBanking,Not UPI inclined
CUST-11184,Kara,Ferguson,"Spears, White and Mendoza",Home,Active,488,Risky,1500000,medium,Debit,NetBanking,Not UPI inclined
CUST-10033,Jennifer,Young,,Home,Active,804,Good,500000,low,,,Not UPI inclined
CUST-11356,Tiffany,Campbell,Dalton-Garcia,Home,Active,598,Risky,5000000,medium,Debit,NetBanking,Not UPI inclined
CUST-10936,Lisa,Barnes,Curtis-Sanchez,Home,Active,784,Good,1500000,medium,Debit,UPI,Not UPI inclined
CUST-10908,Tanya,Spencer,Gardner PLC,Home,Active,423,Risky,5000000,medium,Credit,NetBanking,Not UPI inclined
CUST-11204,Timothy,Williams,"Harrell, Grimes and Armstrong",Home,Active,523,Risky,500000,low,Credit,NetBanking,Not UPI inclined
CUST-11412,William,King,Salinas-Gardner,Home,Active,754,Good,500000,low,Debit,POS,Not UPI inclined
CUST-10374,Johnathan,Briggs,,Home,Active,313,Risky,100000,low,,,Not UPI inclined
CUST-11407,Timothy,Davis,,Home,Active,327,Risky,500000,low,,,Not UPI inclined
CUST-11254,John,Byrd,"Martin, Swanson and Pollard",Home,Active,508,Risky,500000,low,Debit,UPI,Not UPI inclined
CUST-11291,Tina,Spencer,"Mcintosh, Bridges and Robinson",Home,Active,351,Risky,500000,low,Debit,POS,Not UPI inclined
CUST-10260,Kelsey,Johnson,Phillips-Baker,Home,Active,408,Risky,5000000,medium,Credit,UPI,Not UPI inclined
CUST-11098,Eduardo,Shelton,Collins-Crawford,Home,Active,621,Risky,1500000,medium,Debit,UPI,Not UPI inclined
CUST-10654,Jake,Martin,Charles-Le,Home,Active,422,Risky,1500000,medium,Debit,ATM,Not UPI inclined
CUST-10795,Heidi,Sparks,,Home,Active,679,Average,1500000,medium,,,Not UPI inclined
CUST-10930,Stephanie,Boyd,Weber and Sons,Home,Active,694,Average,500000,low,Credit,POS,Not UPI inclined
CUST-11060,Chad,Weeks,"Bennett, Hall and Jones",Home,Active,479,Risky,100000,low,Credit,UPI,Not UPI inclined
CUST-11397,Leah,Joseph,Paul-Spence,Home,Active,716,Average,500000,low,Debit,POS,Not UPI inclined
CUST-10900,Rhonda,Ibarra,"Rodriguez, Moore and Cox",Home,Active,785,Good,500000,low,Debit,POS,Not UPI inclined
CUST-10848,Susan,Shelton,Williams-Harrington,Home,Active,541,Risky,5000000,medium,Credit,UPI,Not UPI inclined
CUST-10872,Erin,Stout,Brewer Inc,Home,Active,367,Risky,5000000,medium,Debit,UPI,Not UPI inclined
CUST-10636,Laura,Andrews,"Peterson, Johnson and Allen",Home,Active,378,Risky,500000,low,Credit,NetBanking,Not UPI inclined
CUST-11389,Matthew,Martinez,"Solis, Wilson and White",Home,Active,744,Average,5000000,medium,Credit,NetBanking,Not UPI inclined
CUST-10269,Laura,Leach,Wolfe-Jackson,Home,Active,683,Average,1500000,medium,Credit,NetBanking,Not UPI inclined
CUST-10092,Joshua,Anderson,"Ball, Atkinson and Stevenson",Home,Active,723,Average,1500000,medium,Debit,NetBanking,Not UPI inclined
CUST-10905,Melissa,Gonzalez,"Hernandez, Ray and Gray",Home,Active,789,Good,500000,low,Debit,UPI,Not UPI inclined
CUST-10273,Ryan,Wilkins,Hernandez-Rice,Home,Active,641,Risky,500000,low,Debit,NetBanking,Not UPI inclined
CUST-10962,James,Russell,Foley-Marquez,Home,Active,594,Risky,100000,low,Credit,POS,Not UPI inclined
CUST-11400,Stacey,Oconnor,"Small, Campbell and Robinson",Home,Active,486,Risky,100000,low,Credit,NetBanking,Not UPI inclined
CUST-10427,Jessica,Rice,Davis Group,Home,Active,496,Risky,100000,low,Debit,NetBanking,Not UPI inclined
CUST-10387,Mary,Johnson,,Home,Active,578,Risky,5000000,medium,,,Not UPI inclined
CUST-10414,Travis,Pearson,"King, Wilson and Hunter",Home,Active,780,Good,5000000,medium,Debit,POS,Not UPI inclined
CUST-10926,Daniel,Smith,Randolph LLC,Home,Active,849,Good,5000000,medium,Credit,NetBanking,Not UPI inclined
CUST-10156,Cynthia,Douglas,,Home,Active,590,Risky,5000000,medium,,,Not UPI inclined
CUST-10200,Lindsey,Jones,,Home,Active,583,Risky,500000,low,,,Not UPI inclined
CUST-10449,Jennifer,Torres,,Home,Active,451,Risky,100000,low,,,Not UPI inclined
CUST-10755,Nicole,Mcneil,,Home,Active,346,Risky,500000,low,,,Not UPI inclined
CUST-10956,Debra,Jordan,,Home,Active,838,Good,500000,low,,,Not UPI inclined
CUST-10132,Victoria,Lara,,Home,Active,684,Average,100000,low,,,Not UPI inclined
CUST-11065,Zachary,Contreras,,Home,Active,767,Good,500000,low,,,Not UPI inclined
CUST-10792,Jessica,Webster,Kline Group,Home,Active,429,Risky,100000,low,Debit,POS,Not UPI inclined
CUST-11487,Justin,Pitts,,Home,Active,777,Good,1500000,medium,,,Not UPI inclined
CUST-11425,Lisa,Harrison,,Home,Active,461,Risky,500000,low,,,Not UPI inclined
CUST-11373,Chelsea,Rodriguez,,Home,Active,469,Risky,100000,low,,,Not UPI inclined
CUST-10538,Joshua,Jefferson,"Summers, Barrett and Hicks",Home,Active,512,Risky,1500000,medium,Debit,POS,Not UPI inclined
CUST-11172,Mark,Trevino,"Johnston, Hill and Coleman",Home,Active,410,Risky,5000000,medium,Credit,ATM,Not UPI inclined
