loan_id,customer_id,loan_type,loan_status,first_name,last_name
LN-20000,CUST-11146,Home,Active,Katelyn,Caldwell
LN-20365,CUST-10531,Home,Active,Robin,Stone
LN-20400,CUST-10612,Home,Active,Alexander,Johnson
LN-20414,CUST-10351,Home,Active,Vanessa,Gaines
LN-20108,CUST-10126,Home,Active,Douglas,Lopez
LN-20123,CUST-10859,Home,Active,Richard,Olson
LN-20142,CUST-11025,Home,Active,Larry,Lewis
LN-20203,CUST-10969,Home,Active,Geoffrey,Stone
LN-20283,CUST-11170,Home,Active,Kyle,Hutchinson
LN-20285,CUST-10497,Home,Active,Nicole,Nichols
LN-20305,CUST-11348,Home,Active,Kayla,Sherman
LN-20158,CUST-11295,Home,Active,Adam,Flowers
LN-20264,CUST-10964,Home,Active,Andrea,Terry
LN-20279,CUST-10225,Home,Active,Betty,Martin
LN-20395,CUST-10483,Home,Active,Barry,Hubbard
LN-20425,CUST-11280,Home,Active,Ralph,Salazar
LN-20469,CUST-10005,Home,Active,Joseph,Gallagher
LN-20095,CUST-10263,Home,Active,Lori,Hall
LN-20132,CUST-10313,Home,Active,Joshua,Wagner
LN-20183,CUST-11184,Home,Active,Kara,Ferguson
LN-20211,CUST-10033,Home,Active,Jennifer,Young
LN-20314,CUST-11356,Home,Active,Tiffany,Campbell
LN-20329,CUST-10936,Home,Active,Lisa,Barnes
LN-20356,CUST-10908,Home,Active,Tanya,Spencer
LN-20377,CUST-11204,Home,Active,Timothy,Williams
LN-20405,CUST-11412,Home,Active,William,King
LN-20416,CUST-10374,Home,Active,Johnathan,Briggs
LN-20452,CUST-11407,Home,Active,Timothy,Davis
LN-20170,CUST-11254,Home,Active,John,Byrd
LN-20189,CUST-11291,Home,Active,Tina,Spencer
LN-20325,CUST-10260,Home,Active,Kelsey,Johnson
LN-20435,CUST-11098,Home,Active,Eduardo,Shelton
LN-20037,CUST-10654,Home,Active,Jake,Martin
LN-20213,CUST-10795,Home,Active,Heidi,Sparks
LN-20031,CUST-10930,Home,Active,Stephanie,Boyd
LN-20198,CUST-11060,Home,Active,Chad,Weeks
LN-20284,CUST-11397,Home,Active,Leah,Joseph
LN-20423,CUST-10900,Home,Active,Rhonda,Ibarra
LN-20440,CUST-10848,Home,Active,Susan,Shelton
LN-20146,CUST-10872,Home,Active,Erin,Stout
LN-20224,CUST-10636,Home,Active,Laura,Andrews
LN-20385,CUST-11389,Home,Active,Matthew,Martinez
LN-20450,CUST-10269,Home,Active,Laura,Leach
