customer_id,first_name,last_name,loan_status,loan_type,loan_id,remaining_balance,credit_score
CUST-10005,Joseph,Gallagher,Active,Home,LN-20469,900000,377
CUST-10269,Laura,Leach,Active,Home,LN-20450,900000,683
CUST-10370,Alan,Adams,Active,Home,LN-20584,300000,731
CUST-10374,Johnathan,Briggs,Active,Home,LN-20416,60000,313
CUST-10389,Miguel,Anderson,Active,Home,LN-21098,300000,848
CUST-10656,Bryan,Morrison,Active,Home,LN-21219,300000,630
CUST-10729,Rebecca,Brown,Active,Home,LN-20204,60000,744
CUST-10897,Bethany,Barnes,Active,Home,LN-20920,900000,480
CUST-11194,Dawn,King,Active,Home,LN-20608,60000,475
CUST-11285,Kyle,Reed,Active,Home,LN-21012,300000,559
CUST-11322,Renee,Ferguson,Active,Home,LN-20840,60000,454
CUST-11407,Timothy,Davis,Active,Home,LN-20452,300000,327
CUST-11488,Sara,Garcia,Active,Home,LN-20808,300000,781
CUST-10410,Jade,Trevino,Active,Home,LN-21192,3000000,349
CUST-10680,Nicole,Klein,Active,Home,LN-21395,60000,785
CUST-10700,Aaron,Hill,Active,Home,LN-20599,300000,443
CUST-10748,Maurice,Hardy,Active,Home,LN-20593,60000,437
CUST-10900,Rhonda,Ibarra,Active,Home,LN-20423,300000,785
CUST-10908,Tanya,Spencer,Active,Home,LN-20356,3000000,423
CUST-11025,Larry,Lewis,Active,Home,LN-20142,3000000,497
CUST-11031,Karen,Wagner,Active,Home,LN-21365,3000000,581
CUST-11125,Jennifer,Cook,Active,Home,LN-21325,3000000,803
CUST-11170,Kyle,Hutchinson,Active,Home,LN-20283,900000,693
CUST-11232,Brian,Rowe,Active,Home,LN-21072,900000,707
CUST-11258,Angela,Miller,Active,Home,LN-20992,300000,612
CUST-11425,Lisa,Harrison,Active,Home,LN-20327,300000,461
CUST-10156,Cynthia,Douglas,Active,Home,LN-20096,3000000,590
CUST-10243,James,Zimmerman,Active,Home,LN-21491,300000,355
CUST-10291,Nicole,Mcconnell,Active,Home,LN-21069,60000,722
CUST-10438,Omar,Douglas,Active,Home,LN-20827,300000,560
CUST-10538,Joshua,Jefferson,Active,Home,LN-20607,900000,512
CUST-10575,Robert,Hughes,Active,Home,LN-21142,60000,422
CUST-10605,Catherine,Rodriguez,Active,Home,LN-20783,3000000,664
CUST-10670,Amy,Norman,Active,Home,LN-21215,900000,775
CUST-10676,Joshua,Freeman,Active,Home,LN-21177,60000,560
CUST-10757,Mary,Bennett,Active,Home,LN-21399,3000000,829
CUST-10962,James,Russell,Active,Home,LN-20492,60000,594
CUST-11060,Chad,Weeks,Active,Home,LN-20198,60000,479
CUST-11216,Richard,Simmons,Active,Home,LN-20655,3000000,650
CUST-11392,Samantha,Wilson,Active,Home,LN-20897,900000,732
CUST-11409,Natalie,Harris,Active,Home,LN-21305,900000,576
CUST-10074,Christina,Fields,Active,Home,LN-21337,900000,773
CUST-10108,Teresa,Pitts,Active,Home,LN-21163,900000,650
CUST-10129,Michelle,Barrera,Active,Home,LN-21220,900000,603
CUST-10174,Amanda,Anderson,Active,Home,LN-20441,60000,326
CUST-10320,Amy,Herman,Active,Home,LN-20923,900000,393
CUST-10797,Megan,Gilbert,Active,Home,LN-20370,60000,427
CUST-10898,Henry,Sanders,Active,Home,LN-20859,300000,726
CUST-10926,Daniel,Smith,Active,Home,LN-20057,3000000,849
CUST-10954,Linda,Davis,Active,Home,LN-20603,900000,349
CUST-10991,James,Molina,Active,Home,LN-20855,900000,668
CUST-11048,Jessica,Combs,Active,Home,LN-21467,60000,330
CUST-11264,Michael,Parker,Active,Home,LN-20891,300000,848
CUST-11300,Rebecca,Taylor,Active,Home,LN-21450,60000,840
CUST-10099,Misty,Jackson,Active,Home,LN-21401,900000,395
CUST-10132,Victoria,Lara,Active,Home,LN-20326,60000,684
CUST-10199,Marcus,Smith,Active,Home,LN-20824,3000000,734
CUST-10273,Ryan,Wilkins,Active,Home,LN-20162,300000,641
CUST-10315,Anthony,Oconnell,Active,Home,LN-21179,300000,504
CUST-10427,Jessica,Rice,Active,Home,LN-20402,60000,496
CUST-10531,Robin,Stone,Active,Home,LN-20365,60000,437
CUST-10537,Brenda,Patterson,Active,Home,LN-20523,300000,834
CUST-10543,Ricky,Santiago,Active,Home,LN-20936,300000,393
CUST-10594,Susan,Poole,Active,Home,LN-21078,3000000,648
CUST-10600,Michelle,Hodges,Active,Home,LN-21119,60000,770
CUST-10654,Jake,Martin,Active,Home,LN-20037,900000,422
CUST-10834,Brad,Friedman,Active,Home,LN-21207,60000,745
CUST-10837,Adrian,Robinson,Active,Home,LN-20769,900000,614
CUST-10944,Patricia,Jones,Active,Home,LN-20510,3000000,484
CUST-10956,Debra,Jordan,Active,Home,LN-20248,300000,838
CUST-11107,Faith,Gutierrez,Active,Home,LN-20803,300000,706
CUST-11196,April,Taylor,Active,Home,LN-21221,300000,692
CUST-11204,Timothy,Williams,Active,Home,LN-20868,3000000,523
