customer_id,first_name,last_name,loan_type,loan_status
CUST-10156,Cynthia,Douglas,Home,Active
CUST-10222,Jeffrey,Owens,Home,Active
CUST-10033,Jennifer,Young,Home,Active
CUST-10075,Joanne,Greene,Home,Active
CUST-10092,Joshua,Anderson,Home,Active
CUST-10139,Jay,Morrison,Home,Active
CUST-10225,Betty,Martin,Home,Active
CUST-10263,Lori,Hall,Home,Active
CUST-10269,Laura,Leach,Home,Active
CUST-10374,Johnathan,Briggs,Home,Active
CUST-10074,Christina,Fields,Home,Active
CUST-10105,Mark,Eaton,Home,Active
CUST-10199,Marcus,Smith,Home,Active
CUST-10414,Travis,Pearson,Home,Active
CUST-10483,Barry,Hubbard,Home,Active
CUST-10005,Joseph,Gallagher,Home,Active
CUST-10017,Elizabeth,Vasquez,Home,Active
CUST-10113,Tammy,Duke,Home,Active
CUST-10129,Michelle,Barrera,Home,Active
CUST-10204,Christopher,Cantrell,Home,Active
CUST-10273,Ryan,Wilkins,Home,Active
CUST-10298,Jennifer,Roach,Home,Active
CUST-10427,Jessica,Rice,Home,Active
CUST-10449,Jennifer,Torres,Home,Active
CUST-10021,Renee,Lamb,Home,Active
CUST-10228,Richard,Harrington,Home,Active
CUST-10315,Anthony,Oconnell,Home,Active
CUST-10237,Melissa,Morgan,Home,Active
CUST-10270,Charles,Maldonado,Home,Active
CUST-10389,Miguel,Anderson,Home,Active
CUST-10412,Jennifer,Hayes,Home,Active
CUST-10490,Brian,Morgan,Home,Active
CUST-10150,Amanda,Mccullough,Home,Active
CUST-10158,Andrea,Martinez,Home,Active
CUST-10320,Amy,Herman,Home,Active
CUST-10082,Erin,Lopez,Home,Active
CUST-10132,Victoria,Lara,Home,Active
CUST-10239,Heather,White,Home,Active
CUST-10243,James,Zimmerman,Home,Active
CUST-10008,Megan,Singh,Home,Active
CUST-10108,Teresa,Pitts,Home,Active
CUST-10261,Mark,Gibbs,Home,Active
CUST-10333,John,Bryan,Home,Active
CUST-10441,Steven,Nunez,Home,Active
CUST-10126,Douglas,Lopez,Home,Active
CUST-10148,Amanda,Robinson,Home,Active
CUST-10174,Amanda,Anderson,Home,Active
CUST-10231,Jeremiah,Lopez,Home,Active
CUST-10256,Amy,Murphy,Home,Active
CUST-10260,Kelsey,Johnson,Home,Active
CUST-10351,Vanessa,Gaines,Home,Active
CUST-10387,Mary,Johnson,Home,Active
CUST-10410,Jade,Trevino,Home,Active
CUST-10418,Joseph,Owens,Home,Active
CUST-10099,Misty,Jackson,Home,Active
CUST-10287,Frank,Jordan,Home,Active
CUST-10360,Sara,Macdonald,Home,Active
CUST-10400,Johnathan,Schmidt,Home,Active
CUST-10252,Lawrence,Delacruz,Home,Active
CUST-10259,Eric,Donaldson,Home,Active
CUST-10313,Joshua,Wagner,Home,Active
CUST-10291,Nicole,Mcconnell,Home,Active
CUST-10346,Nancy,Parker,Home,Active
CUST-10383,Derek,Lucas,Home,Active
CUST-10424,Jacqueline,Moran,Home,Active
