customer_id,first_name,last_name,merchant_name,loan_type,loan_status,principal_amount,credit_score,channel,transaction_type,credit_score_flag,principal_bucket,upi_inclined_flag
CUST-11146,Katelyn,Caldwell,,Home,Active,100000,460,,,Risky,low bucket,Non UPI Inclined
CUST-10531,Robin,Stone,Mcclain PLC,Home,Active,100000,437,NetBanking,Debit,Risky,low bucket,Non UPI Inclined
CUST-10612,Alexander,Johnson,,Home,Active,100000,534,,,Risky,low bucket,Non UPI Inclined
CUST-10351,Vanessa,Gaines,"Harris, Delacruz and Bolton",Home,Active,5000000,480,POS,Debit,Risky,medium bucket,Non UPI Inclined
CUST-10351,Vanessa,Gaines,"Rice, Daniels and Jackson",Home,Active,5000000,480,UPI,Debit,Risky,medium bucket,Non UPI Inclined
CUST-10126,Douglas,Lopez,Flores-Jenkins,Home,Active,100000,343,ATM,Debit,Risky,low bucket,Non UPI Inclined
CUST-10859,Richard,Olson,,Home,Active,500000,402,,,Risky,low bucket,Non UPI Inclined
CUST-11025,Larry,Lewis,"Love, Rice and Boyd",Home,Active,5000000,497,POS,Debit,Risky,medium bucket,Non UPI Inclined
CUST-11025,Larry,Lewis,"Williams, Cameron and Holden",Home,Active,5000000,497,ATM,Credit,Risky,medium bucket,Non UPI Inclined
CUST-10969,Geoffrey,Stone,,Home,Active,5000000,566,,,Risky,medium bucket,Non UPI Inclined
CUST-11170,Kyle,Hutchinson,Adams and Sons,Home,Active,1500000,693,POS,Credit,Average,medium bucket,Non UPI Inclined
CUST-10497,Nicole,Nichols,,Home,Active,500000,585,,,Risky,low bucket,Non UPI Inclined
CUST-11348,Kayla,Sherman,"Adams, Reynolds and Glenn",Home,Active,100000,555,UPI,Credit,Risky,low bucket,Non UPI Inclined
CUST-11348,Kayla,Sherman,Olson and Sons,Home,Active,100000,555,UPI,Credit,Risky,low bucket,Non UPI Inclined
CUST-11348,Kayla,Sherman,Williams and Sons,Home,Active,100000,555,ATM,Debit,Risky,low bucket,Non UPI Inclined
CUST-11348,Kayla,Sherman,"Rosario, Mejia and Grant",Home,Active,100000,555,UPI,Credit,Risky,low bucket,Non UPI Inclined
