customer_id,first_name,last_name,merchant_name,loan_type,loan_status,credit_score,principal_amount,transaction_type,channel,credit_score_flag,principal_amount_bucket,upi_inclined_flag,upi_transaction_count
CUST-10156,Cynthia,Douglas,,Home,Active,590,5000000,,,Risky,medium bucket,Not UPI Inclined,0
CUST-10222,Jeffrey,Owens,Fitzgerald-Parsons,Home,Active,412,100000,Credit,NetBanking,Risky,low bucket,Not UPI Inclined,0
CUST-10033,Jennifer,Young,,Home,Active,804,500000,,,Good,low bucket,Not UPI Inclined,0
CUST-10075,Joanne,Greene,"Snow, Hale and Mcdonald",Home,Active,790,5000000,Debit,NetBanking,Good,medium bucket,Not UPI Inclined,0
CUST-10092,Joshua,Anderson,"Ball, Atkinson and Stevenson",Home,Active,723,1500000,Debit,NetBanking,Average,medium bucket,Not UPI Inclined,0
CUST-10139,Jay,Morrison,,Home,Active,683,5000000,,,Average,medium bucket,Not UPI Inclined,0
CUST-10225,Betty,Martin,,Home,Active,313,100000,,,Risky,low bucket,Not UPI Inclined,0
CUST-10263,Lori,Hall,,Home,Active,429,500000,,,Risky,low bucket,Not UPI Inclined,0
CUST-10269,Laura,Leach,Wolfe-Jackson,Home,Active,683,1500000,Credit,NetBanking,Average,medium bucket,Not UPI Inclined,0
CUST-10374,Johnathan,Briggs,,Home,Active,313,100000,,,Risky,low bucket,Not UPI Inclined,0
CUST-10074,Christina,Fields,,Home,Active,773,1500000,,,Good,medium bucket,Not UPI Inclined,0
CUST-10105,Mark,Eaton,Young-Adams,Home,Active,369,5000000,Debit,POS,Risky,medium bucket,Not UPI Inclined,0
CUST-10199,Marcus,Smith,"Jenkins, Jones and Jones",Home,Active,734,5000000,Debit,UPI,Average,medium bucket,Not UPI Inclined,3
CUST-10414,Travis,Pearson,"King, Wilson and Hunter",Home,Active,780,5000000,Debit,POS,Good,medium bucket,Not UPI Inclined,1
CUST-10483,Barry,Hubbard,,Home,Active,552,1500000,,,Risky,medium bucket,Not UPI Inclined,0
CUST-10005,Joseph,Gallagher,,Home,Active,377,1500000,,,Risky,medium bucket,Not UPI Inclined,0
CUST-10017,Elizabeth,Vasquez,Snyder LLC,Home,Active,612,500000,Debit,UPI,Risky,low bucket,Not UPI Inclined,1
CUST-10113,Tammy,Duke,,Home,Active,364,500000,,,Risky,low bucket,Not UPI Inclined,0
CUST-10129,Michelle,Barrera,Hernandez Group,Home,Active,603,1500000,Credit,POS,Risky,medium bucket,Not UPI Inclined,0
CUST-10204,Christopher,Cantrell,"Ford, Solis and Booth",Home,Active,461,100000,Credit,NetBanking,Risky,low bucket,Not UPI Inclined,0
CUST-10273,Ryan,Wilkins,Hernandez-Rice,Home,Active,641,500000,Debit,NetBanking,Risky,low bucket,Not UPI Inclined,1
CUST-10298,Jennifer,Roach,"Nguyen, Huff and Smith",Home,Active,674,5000000,Debit,POS,Average,medium bucket,Not UPI Inclined,0
CUST-10427,Jessica,Rice,Davis Group,Home,Active,496,100000,Debit,NetBanking,Risky,low bucket,Not UPI Inclined,0
CUST-10449,Jennifer,Torres,,Home,Active,451,100000,,,Risky,low bucket,Not UPI Inclined,0
CUST-10021,Renee,Lamb,"Harris, Hartman and Kelley",Home,Active,481,1500000,Debit,POS,Risky,medium bucket,Not UPI Inclined,0
CUST-10228,Richard,Harrington,,Home,Active,778,5000000,,,Good,medium bucket,Not UPI Inclined,0
CUST-10315,Anthony,Oconnell,"Harris, Rodriguez and Reed",Home,Active,504,500000,Debit,POS,Risky,low bucket,Not UPI Inclined,0
