customer_id,first_name,last_name,loan_type,loan_status,remaining_balance
CUST-10156,Cynthia,Douglas,Home,Active,3000000
CUST-10222,Jeffrey,Owens,Home,Active,60000
CUST-10033,Jennifer,Young,Home,Active,300000
CUST-10075,Joanne,Greene,Home,Active,3000000
CUST-10092,Joshua,Anderson,Home,Active,900000
CUST-10139,Jay,Morrison,Home,Active,3000000
CUST-10225,Betty,Martin,Home,Active,60000
CUST-10263,Lori,Hall,Home,Active,300000
CUST-10269,Laura,Leach,Home,Active,900000
CUST-10374,Johnathan,Briggs,Home,Active,60000
CUST-10074,Christina,Fields,Home,Active,900000
CUST-10105,Mark,Eaton,Home,Active,3000000
CUST-10199,Marcus,Smith,Home,Active,3000000
CUST-10414,Travis,Pearson,Home,Active,3000000
CUST-10483,Barry,Hubbard,Home,Active,900000
CUST-10005,Joseph,Gallagher,Home,Active,900000
CUST-10017,Elizabeth,Vasquez,Home,Active,300000
CUST-10113,Tammy,Duke,Home,Active,300000
CUST-10129,Michelle,Barrera,Home,Active,900000
CUST-10204,Christopher,Cantrell,Home,Active,60000
CUST-10273,Ryan,Wilkins,Home,Active,300000
CUST-10298,Jennifer,Roach,Home,Active,3000000
CUST-10427,Jessica,Rice,Home,Active,60000
CUST-10449,Jennifer,Torres,Home,Active,60000
CUST-10021,Renee,Lamb,Home,Active,900000
CUST-10228,Richard,Harrington,Home,Active,3000000
CUST-10315,Anthony,Oconnell,Home,Active,300000
CUST-10237,Melissa,Morgan,Home,Active,900000
CUST-10270,Charles,Maldonado,Home,Active,60000
CUST-10389,Miguel,Anderson,Home,Active,300000
CUST-10412,Jennifer,Hayes,Home,Active,900000
CUST-10490,Brian,Morgan,Home,Active,60000
CUST-10150,Amanda,Mccullough,Home,Active,900000
CUST-10158,Andrea,Martinez,Home,Active,900000
CUST-10320,Amy,Herman,Home,Active,900000
CUST-10082,Erin,Lopez,Home,Active,60000
CUST-10132,Victoria,Lara,Home,Active,60000
CUST-10239,Heather,White,Home,Active,3000000
CUST-10243,James,Zimmerman,Home,Active,300000
CUST-10008,Megan,Singh,Home,Active,900000
CUST-10108,Teresa,Pitts,Home,Active,900000
CUST-10261,Mark,Gibbs,Home,Active,60000
CUST-10333,John,Bryan,Home,Active,60000
CUST-10441,Steven,Nunez,Home,Active,300000
CUST-10126,Douglas,Lopez,Home,Active,60000
CUST-10148,Amanda,Robinson,Home,Active,900000
CUST-10174,Amanda,Anderson,Home,Active,60000
CUST-10231,Jeremiah,Lopez,Home,Active,300000
CUST-10256,Amy,Murphy,Home,Active,3000000
CUST-10260,Kelsey,Johnson,Home,Active,3000000
CUST-10351,Vanessa,Gaines,Home,Active,3000000
CUST-10387,Mary,Johnson,Home,Active,3000000
CUST-10410,Jade,Trevino,Home,Active,3000000
CUST-10418,Joseph,Owens,Home,Active,60000
CUST-10099,Misty,Jackson,Home,Active,900000
CUST-10287,Frank,Jordan,Home,Active,300000
CUST-10360,Sara,Macdonald,Home,Active,300000
CUST-10400,Johnathan,Schmidt,Home,Active,900000
CUST-10252,Lawrence,Delacruz,Home,Active,3000000
CUST-10259,Eric,Donaldson,Home,Active,300000
CUST-10313,Joshua,Wagner,Home,Active,60000
CUST-10291,Nicole,Mcconnell,Home,Active,60000
CUST-10346,Nancy,Parker,Home,Active,300000
CUST-10383,Derek,Lucas,Home,Active,60000
CUST-10424,Jacqueline,Moran,Home,Active,3000000
CUST-10142,Michael,Montes,Home,Active,300000
CUST-10200,Lindsey,Jones,Home,Active,300000
CUST-10398,James,Larson,Home,Active,300000
CUST-10404,Adam,Carlson,Home,Active,900000
CUST-10438,Omar,Douglas,Home,Active,300000
CUST-10497,Nicole,Nichols,Home,Active,300000
CUST-10062,Allen,Arroyo,Home,Active,60000
CUST-10370,Alan,Adams,Home,Active,300000
CUST-10525,Matthew,Wood,Home,Active,900000
CUST-10575,Robert,Hughes,Home,Active,60000
CUST-10724,Tammy,Thomas,Home,Active,3000000
CUST-10766,Timothy,Caldwell,Home,Active,3000000
CUST-10923,Christopher,Martin,Home,Active,300000
CUST-10622,Marc,Morales,Home,Active,3000000
CUST-10631,April,Lee,Home,Active,60000
CUST-10676,Joshua,Freeman,Home,Active,60000
CUST-10930,Stephanie,Boyd,Home,Active,300000
CUST-10537,Brenda,Patterson,Home,Active,300000
CUST-10818,Brandi,Fitzgerald,Home,Active,300000
CUST-10956,Debra,Jordan,Home,Active,300000
CUST-10962,James,Russell,Home,Active,60000
CUST-10538,Joshua,Jefferson,Home,Active,900000
CUST-10636,Laura,Andrews,Home,Active,300000
CUST-10700,Aaron,Hill,Home,Active,300000
CUST-10757,Mary,Bennett,Home,Active,3000000
CUST-10775,Brooke,Young,Home,Active,3000000
CUST-10795,Heidi,Sparks,Home,Active,900000
CUST-10810,Sonia,Miller,Home,Active,60000
CUST-10543,Ricky,Santiago,Home,Active,300000
CUST-10635,John,Campbell,Home,Active,900000
CUST-10755,Nicole,Mcneil,Home,Active,300000
CUST-10594,Susan,Poole,Home,Active,3000000
CUST-10600,Michelle,Hodges,Home,Active,60000
CUST-10612,Alexander,Johnson,Home,Active,60000
CUST-10654,Jake,Martin,Home,Active,900000
CUST-10656,Bryan,Morrison,Home,Active,300000
CUST-10708,Kelsey,Pham,Home,Active,60000
CUST-10805,David,Scott,Home,Active,300000
CUST-10861,Jessica,Simpson,Home,Active,60000
CUST-10872,Erin,Stout,Home,Active,3000000
CUST-10792,Jessica,Webster,Home,Active,60000
CUST-10908,Tanya,Spencer,Home,Active,3000000
CUST-10934,Jason,Lopez,Home,Active,300000
CUST-10954,Linda,Davis,Home,Active,900000
CUST-10897,Bethany,Barnes,Home,Active,900000
CUST-10521,Kevin,Campbell,Home,Active,60000
CUST-10531,Robin,Stone,Home,Active,60000
CUST-10617,James,Moore,Home,Active,3000000
CUST-10660,Evelyn,Peterson,Home,Active,900000
CUST-10680,Nicole,Klein,Home,Active,60000
CUST-10735,Emily,Hess,Home,Active,3000000
CUST-10839,Stephanie,Roman,Home,Active,300000
CUST-10859,Richard,Olson,Home,Active,300000
CUST-10974,Barry,Ruiz,Home,Active,300000
CUST-10670,Amy,Norman,Home,Active,900000
CUST-10834,Brad,Friedman,Home,Active,60000
CUST-10837,Adrian,Robinson,Home,Active,3000000
CUST-10563,Cameron,White,Home,Active,900000
CUST-10592,Victor,Johnson,Home,Active,3000000
