customer_id,first_name,last_name,email,phone,date_of_birth,loan_type,loan_status,principal_amount,remaining_balance
CUST-10005,J***,G***,q***@gmail.com,******4595,[MASKED],Home,Active,1500000,900000
CUST-10269,L***,L***,p***@gmail.com,******4262,[MASKED],Home,Active,1500000,900000
CUST-10370,A***,A***,c***@hotmail.com,******4978,[MASKED],Home,Active,500000,300000
CUST-10374,J***,B***,h***@gmail.com,******8286,[MASKED],Home,Active,100000,60000
CUST-10389,M***,A***,a***@hotmail.com,******4243,[MASKED],Home,Active,500000,300000
CUST-10656,B***,M***,c***@hotmail.com,******5666,[MASKED],Home,Active,500000,300000
CUST-10729,R***,B***,w***@gmail.com,******9163,[MASKED],Home,Active,100000,60000
CUST-10897,B***,B***,j***@hotmail.com,******3060,[MASKED],Home,Active,1500000,900000
CUST-11194,D***,K***,o***@gmail.com,******6303,[MASKED],Home,Active,100000,60000
CUST-11285,K***,R***,q***@yahoo.com,******3620,[MASKED],Home,Active,500000,300000
CUST-11322,R***,F***,b***@yahoo.com,******4962,[MASKED],Home,Active,100000,60000
CUST-11407,T***,D***,t***@yahoo.com,******4455,[MASKED],Home,Active,500000,300000
CUST-11488,S***,G***,m***@hotmail.com,******0435,[MASKED],Home,Active,500000,300000
CUST-10410,J***,T***,j***@yahoo.com,******5042,[MASKED],Home,Active,5000000,3000000
CUST-10680,N***,K***,r***@gmail.com,******2381,[MASKED],Home,Active,100000,60000
CUST-10700,A***,H***,r***@hotmail.com,******2281,[MASKED],Home,Active,500000,300000
CUST-10748,M***,H***,b***@hotmail.com,******2868,[MASKED],Home,Active,100000,60000
CUST-10900,R***,I***,t***@gmail.com,******8334,[MASKED],Home,Active,500000,300000
CUST-10908,T***,S***,b***@hotmail.com,******3101,[MASKED],Home,Active,5000000,3000000
CUST-11025,L***,L***,k***@yahoo.com,******3397,[MASKED],Home,Active,5000000,3000000
CUST-11031,K***,W***,p***@gmail.com,******3566,[MASKED],Home,Active,5000000,3000000
CUST-11125,J***,C***,y***@gmail.com,******2733,[MASKED],Home,Active,5000000,3000000
CUST-11170,K***,H***,n***@hotmail.com,******4638,[MASKED],Home,Active,1500000,900000
CUST-11232,B***,R***,t***@hotmail.com,******7932,[MASKED],Home,Active,1500000,900000
CUST-11258,A***,M***,x***@yahoo.com,******1533,[MASKED],Home,Active,500000,300000
CUST-11425,L***,H***,d***@gmail.com,******3744,[MASKED],Home,Active,500000,300000
CUST-10156,C***,D***,a***@gmail.com,******0785,[MASKED],Home,Active,5000000,3000000
CUST-10243,J***,Z***,j***@hotmail.com,******9884,[MASKED],Home,Active,500000,300000
CUST-10291,N***,M***,w***@yahoo.com,******8097,[MASKED],Home,Active,100000,60000
CUST-10438,O***,D***,y***@hotmail.com,******0631,[MASKED],Home,Active,500000,300000
CUST-10538,J***,J***,t***@gmail.com,******6783,[MASKED],Home,Active,1500000,900000
CUST-10575,R***,H***,c***@gmail.com,******6732,[MASKED],Home,Active,100000,60000
CUST-10605,C***,R***,p***@yahoo.com,******6533,[MASKED],Home,Active,5000000,3000000
CUST-10670,A***,N***,e***@hotmail.com,******7540,[MASKED],Home,Active,1500000,900000
CUST-10676,J***,F***,l***@gmail.com,******4436,[MASKED],Home,Active,100000,60000
CUST-10757,M***,B***,c***@gmail.com,******0902,[MASKED],Home,Active,5000000,3000000
CUST-10962,J***,R***,l***@gmail.com,******8177,[MASKED],Home,Active,100000,60000
CUST-11060,C***,W***,a***@hotmail.com,******5331,[MASKED],Home,Active,100000,60000
CUST-11216,R***,S***,b***@yahoo.com,******3412,[MASKED],Home,Active,5000000,3000000
CUST-11392,S***,W***,l***@gmail.com,******1342,[MASKED],Home,Active,1500000,900000
CUST-11409,N***,H***,s***@yahoo.com,******3472,[MASKED],Home,Active,1500000,900000
CUST-10074,C***,F***,j***@gmail.com,******5002,[MASKED],Home,Active,1500000,900000
CUST-10108,T***,P***,c***@yahoo.com,******4690,[MASKED],Home,Active,1500000,900000
CUST-10129,M***,B***,p***@gmail.com,******7413,[MASKED],Home,Active,1500000,900000
CUST-10174,A***,A***,o***@yahoo.com,******0184,[MASKED],Home,Active,100000,60000
CUST-10320,A***,H***,j***@yahoo.com,******2945,[MASKED],Home,Active,1500000,900000
CUST-10797,M***,G***,m***@yahoo.com,******8769,[MASKED],Home,Active,100000,60000
CUST-10898,H***,S***,t***@hotmail.com,******2775,[MASKED],Home,Active,500000,300000
CUST-10926,D***,S***,b***@hotmail.com,******1720,[MASKED],Home,Active,5000000,3000000
CUST-10954,L***,D***,q***@gmail.com,******7798,[MASKED],Home,Active,1500000,900000
CUST-10991,J***,M***,p***@gmail.com,******0718,[MASKED],Home,Active,1500000,900000
CUST-11048,J***,C***,c***@hotmail.com,******3186,[MASKED],Home,Active,100000,60000
CUST-11264,M***,P***,z***@yahoo.com,******1624,[MASKED],Home,Active,500000,300000
CUST-11300,R***,T***,h***@yahoo.com,******4189,[MASKED],Home,Active,100000,60000
CUST-10099,M***,J***,r***@gmail.com,******8780,[MASKED],Home,Active,1500000,900000
