customer_id,first_name,last_name,loan_id,loan_type,loan_status
CUST-10156,Cynthia,Douglas,LN-20096,Home,Active
CUST-10222,Jeffrey,Owens,LN-20758,Home,Active
CUST-10033,Jennifer,Young,LN-20211,Home,Active
CUST-10075,Joanne,Greene,LN-21146,Home,Active
CUST-10092,Joshua,Anderson,LN-20091,Home,Active
CUST-10139,Jay,Morrison,LN-21230,Home,Active
CUST-10225,Betty,Martin,LN-20279,Home,Active
CUST-10263,Lori,Hall,LN-20079,Home,Active
CUST-10269,Laura,Leach,LN-20450,Home,Active
CUST-10374,Johnathan,Briggs,LN-20416,Home,Active
CUST-10074,Christina,Fields,LN-21337,Home,Active
CUST-10105,Mark,Eaton,LN-21134,Home,Active
CUST-10199,Marcus,Smith,LN-20824,Home,Active
CUST-10414,Travis,Pearson,LN-20018,Home,Active
CUST-10483,Barry,Hubbard,LN-20395,Home,Active
CUST-10005,Joseph,Gallagher,LN-20469,Home,Active
CUST-10017,Elizabeth,Vasquez,LN-21339,Home,Active
CUST-10113,Tammy,Duke,LN-20612,Home,Active
CUST-10129,Michelle,Barrera,LN-21220,Home,Active
CUST-10204,Christopher,Cantrell,LN-21167,Home,Active
CUST-10273,Ryan,Wilkins,LN-20162,Home,Active
CUST-10298,Jennifer,Roach,LN-20533,Home,Active
CUST-10427,Jessica,Rice,LN-20402,Home,Active
CUST-10449,Jennifer,Torres,LN-20190,Home,Active
CUST-10021,Renee,Lamb,LN-21482,Home,Active
CUST-10228,Richard,Harrington,LN-20647,Home,Active
CUST-10315,Anthony,Oconnell,LN-21179,Home,Active
CUST-10237,Melissa,Morgan,LN-21070,Home,Active
CUST-10270,Charles,Maldonado,LN-21274,Home,Active
CUST-10389,Miguel,Anderson,LN-21098,Home,Active
CUST-10412,Jennifer,Hayes,LN-21336,Home,Active
CUST-10490,Brian,Morgan,LN-21366,Home,Active
CUST-10150,Amanda,Mccullough,LN-21118,Home,Active
CUST-10158,Andrea,Martinez,LN-21378,Home,Active
CUST-10320,Amy,Herman,LN-20923,Home,Active
CUST-10082,Erin,Lopez,LN-21045,Home,Active
CUST-10132,Victoria,Lara,LN-20326,Home,Active
CUST-10239,Heather,White,LN-20912,Home,Active
CUST-10243,James,Zimmerman,LN-21491,Home,Active
CUST-10008,Megan,Singh,LN-20709,Home,Active
CUST-10108,Teresa,Pitts,LN-21163,Home,Active
CUST-10261,Mark,Gibbs,LN-20788,Home,Active
CUST-10333,John,Bryan,LN-20449,Home,Active
CUST-10441,Steven,Nunez,LN-21289,Home,Active
CUST-10126,Douglas,Lopez,LN-20108,Home,Active
CUST-10148,Amanda,Robinson,LN-20624,Home,Active
CUST-10174,Amanda,Anderson,LN-20441,Home,Active
CUST-10231,Jeremiah,Lopez,LN-21423,Home,Active
CUST-10256,Amy,Murphy,LN-20968,Home,Active
CUST-10260,Kelsey,Johnson,LN-20325,Home,Active
CUST-10351,Vanessa,Gaines,LN-20414,Home,Active
CUST-10387,Mary,Johnson,LN-20498,Home,Active
CUST-10410,Jade,Trevino,LN-21192,Home,Active
CUST-10418,Joseph,Owens,LN-20161,Home,Active
CUST-10099,Misty,Jackson,LN-21401,Home,Active
CUST-10287,Frank,Jordan,LN-20692,Home,Active
CUST-10360,Sara,Macdonald,LN-21004,Home,Active
CUST-10400,Johnathan,Schmidt,LN-20816,Home,Active
CUST-10252,Lawrence,Delacruz,LN-20604,Home,Active
CUST-10259,Eric,Donaldson,LN-20652,Home,Active
CUST-10313,Joshua,Wagner,LN-20132,Home,Active
CUST-10291,Nicole,Mcconnell,LN-21069,Home,Active
CUST-10346,Nancy,Parker,LN-21463,Home,Active
CUST-10383,Derek,Lucas,LN-20505,Home,Active
CUST-10424,Jacqueline,Moran,LN-20688,Home,Active
CUST-10142,Michael,Montes,LN-20568,Home,Active
CUST-10200,Lindsey,Jones,LN-20174,Home,Active
CUST-10398,James,Larson,LN-21394,Home,Active
CUST-10404,Adam,Carlson,LN-21462,Home,Active
CUST-10438,Omar,Douglas,LN-20827,Home,Active
CUST-10497,Nicole,Nichols,LN-20285,Home,Active
CUST-10062,Allen,Arroyo,LN-20976,Home,Active
CUST-10370,Alan,Adams,LN-20584,Home,Active
CUST-10525,Matthew,Wood,LN-21252,Home,Active
CUST-10575,Robert,Hughes,LN-21142,Home,Active
CUST-10724,Tammy,Thomas,LN-20500,Home,Active
CUST-10766,Timothy,Caldwell,LN-21356,Home,Active
CUST-10923,Christopher,Martin,LN-20726,Home,Active
CUST-10622,Marc,Morales,LN-21191,Home,Active
CUST-10631,April,Lee,LN-21288,Home,Active
CUST-10676,Joshua,Freeman,LN-21177,Home,Active
CUST-10930,Stephanie,Boyd,LN-20031,Home,Active
CUST-10537,Brenda,Patterson,LN-20523,Home,Active
CUST-10818,Brandi,Fitzgerald,LN-21313,Home,Active
CUST-10956,Debra,Jordan,LN-20248,Home,Active
CUST-10962,James,Russell,LN-20492,Home,Active
CUST-10538,Joshua,Jefferson,LN-20607,Home,Active
CUST-10636,Laura,Andrews,LN-20224,Home,Active
CUST-10700,Aaron,Hill,LN-20599,Home,Active
CUST-10757,Mary,Bennett,LN-21399,Home,Active
CUST-10775,Brooke,Young,LN-20994,Home,Active
CUST-10795,Heidi,Sparks,LN-20213,Home,Active
CUST-10810,Sonia,Miller,LN-20555,Home,Active
CUST-10543,Ricky,Santiago,LN-21212,Home,Active
CUST-10635,John,Campbell,LN-21266,Home,Active
CUST-10755,Nicole,Mcneil,LN-20194,Home,Active
CUST-10594,Susan,Poole,LN-21078,Home,Active
CUST-10600,Michelle,Hodges,LN-21119,Home,Active
CUST-10612,Alexander,Johnson,LN-20400,Home,Active
CUST-10654,Jake,Martin,LN-20037,Home,Active
CUST-10656,Bryan,Morrison,LN-21219,Home,Active
CUST-10708,Kelsey,Pham,LN-20613,Home,Active
CUST-10805,David,Scott,LN-20399,Home,Active
CUST-10861,Jessica,Simpson,LN-21231,Home,Active
CUST-10872,Erin,Stout,LN-20146,Home,Active
CUST-10792,Jessica,Webster,LN-20298,Home,Active
CUST-10908,Tanya,Spencer,LN-20356,Home,Active
CUST-10934,Jason,Lopez,LN-20921,Home,Active
CUST-10954,Linda,Davis,LN-20603,Home,Active
CUST-10897,Bethany,Barnes,LN-20920,Home,Active
