customer_id,available_balance,email,first_name,kyc_status,credit_score,loan_status,remaining_balance
CUST-10989,213001,,,,,,
CUST-11189,58904.59,,,,,,
CUST-11270,231535.81,,,,,,
CUST-11153,131532.01,,,,,,
CUST-10094,168042.66,plucas@yahoo.com,Sandra,Verified,718,,
CUST-10138,1569.91,uhernandez@gmail.com,Kelly,Failed,410,,
CUST-10737,55254.24,,,,,,
CUST-10588,155316.28,,,,,,
CUST-11290,118928.22,,,,,,
CUST-11334,187138.93,,,,,,
CUST-10131,112087.48,mayerapril@gmail.com,Dana,Verified,310,,
CUST-11112,117834.98,,,,,,
CUST-11074,31452.78,,,,,,
CUST-11319,73653.37,,,,,,
CUST-11129,232495.93,,,,,,
CUST-11267,68813.78,,,,,,
CUST-10759,116708.74,,,,,,
CUST-10534,115362.79,,,,,,
CUST-10449,206524.66,,,,,Active,60000
CUST-11042,164002.74,,,,,,
CUST-10757,35337.17,,,,,,
CUST-10285,79380.28,,,,,,
CUST-10396,62684.07,,,,,,
CUST-10071,207299.45,harrisonvicki@yahoo.com,Peter,Verified,710,,
CUST-11432,197628.78,,,,,,
CUST-10180,193526.01,jamie43@gmail.com,Brent,Verified,585,,
CUST-11450,166047.87,,,,,,
CUST-11106,83850.94,,,,,,
CUST-11311,176916.19,,,,,,
CUST-10944,18107.66,,,,,Closed,0
CUST-10527,112383.73,,,,,,
CUST-10537,16342.47,,,,,,
CUST-10305,150217.55,,,,,,
CUST-11155,166440.08,,,,,,
CUST-10827,157940.8,,,,,,
CUST-10094,168237.05,plucas@yahoo.com,Sandra,Verified,718,,
CUST-10148,53955.14,brownbrianna@hotmail.com,Amanda,Verified,829,,
CUST-10745,207497.44,,,,,,
CUST-11436,218496.99,,,,,,
CUST-10462,226491.27,,,,,,
CUST-10263,154407.84,,,,,Active,900000
CUST-10965,46636.67,,,,,,
CUST-11057,-1470,,,,,Default,0
CUST-10793,171206.46,,,,,,
CUST-10651,224865.76,,,,,,
CUST-10347,130855.27,,,,,,
CUST-11127,2040.03,,,,,,
CUST-10291,173410.77,,,,,,
CUST-10593,57737.52,,,,,,
CUST-10452,49008.39,,,,,,
CUST-10951,61176.34,,,,,,
CUST-11210,167341.43,,,,,,
CUST-10031,111292.99,ggomez@hotmail.com,Lindsey,Failed,575,Active,300000
CUST-11433,79463.44,,,,,,
CUST-10806,104366.71,,,,,,
CUST-11486,102406.51,,,,,,
CUST-11248,192265.52,,,,,,
CUST-10050,207209.71,rowlandsabrina@gmail.com,Thomas,Verified,743,Active,3000000
CUST-10573,37240.69,,,,,Closed,0
CUST-10266,20155.45,,,,,,
CUST-11008,220437.45,,,,,,
CUST-10150,218348.46,sanchezmatthew@gmail.com,Amanda,Pending,825,Default,0
CUST-10349,112076.17,,,,,,
CUST-10603,77750.31,,,,,,
CUST-10948,21778.81,,,,,,
CUST-11306,82117.83,,,,,,
CUST-11190,27920.94,,,,,,
CUST-10617,17335.86,,,,,,
CUST-11489,4911.57,,,,,Active,300000
CUST-11380,129706.98,,,,,Active,3000000
CUST-10406,128153.88,,,,,,
CUST-10149,56505.05,kristin75@gmail.com,Andrea,Failed,480,,
CUST-10594,145966.3,,,,,,
CUST-10433,13538.2,,,,,,
CUST-11343,97057.17,,,,,,
CUST-11187,29273.87,,,,,Active,3000000
CUST-10666,82090.56,,,,,,
CUST-11262,118189.58,,,,,Default,0
CUST-10919,209142.91,,,,,,
CUST-10656,143780.28,,,,,,
CUST-10084,91700.06,robertsheather@gmail.com,Tracy,Pending,676,,
CUST-11254,195810.65,,,,,Active,300000
CUST-10726,147689.16,,,,,,
CUST-10896,109160.56,,,,,,
CUST-10596,35264.7,,,,,,
CUST-10289,1681.84,,,,,,
CUST-10738,23018.39,,,,,,
CUST-11261,26190.09,,,,,,
CUST-11228,169415.44,,,,,,
CUST-10465,150329.6,,,,,,
CUST-10573,220381.5,,,,,Closed,0
CUST-10358,222871.45,,,,,,
CUST-10791,93135.48,,,,,Closed,0
CUST-10634,212099.21,,,,,,
CUST-10920,13964.45,,,,,,
CUST-10779,56522.38,,,,,,
CUST-11249,106557.38,,,,,,
CUST-10890,189836.35,,,,,,
CUST-10503,6733.04,,,,,,
CUST-10833,128416.7,,,,,,
CUST-11020,185540.82,,,,,,
CUST-11232,70208.98,,,,,,
CUST-11445,2834.13,,,,,,
CUST-10793,200568.02,,,,,,
CUST-11129,147827.07,,,,,,
CUST-11205,29272.31,,,,,,
CUST-11222,55535.16,,,,,,
CUST-10832,209502.45,,,,,,
CUST-10826,115923.35,,,,,,
CUST-10958,204515.38,,,,,,
CUST-10294,52274.78,,,,,,
CUST-10959,154635.79,,,,,,
CUST-11320,57470.56,,,,,,
CUST-11077,117029.79,,,,,,
CUST-10560,10605.23,,,,,Active,300000
CUST-10256,160365.18,,,,,,
CUST-10967,42817.22,,,,,,
CUST-11035,52020.75,,,,,,
CUST-11102,211061.66,,,,,,
CUST-11328,139210.29,,,,,Closed,0
CUST-10861,2923.18,,,,,,
CUST-10083,60964.18,george06@hotmail.com,Lawrence,Failed,412,,
CUST-10769,198384.47,,,,,,
CUST-10182,47093.49,leedouglas@hotmail.com,Victoria,Verified,559,Default,0
CUST-10317,59707.01,,,,,Active,900000
CUST-10523,84697.88,,,,,,
CUST-11395,243725.17,,,,,,
CUST-11457,148516.58,,,,,,
CUST-11487,15736.89,,,,,,
CUST-10428,165692.21,,,,,Default,0
CUST-11394,212482.97,,,,,,
CUST-10061,43530.23,kaiserandrew@gmail.com,Kevin,Failed,661,,
CUST-11293,229124.46,,,,,,
CUST-10650,133719.03,,,,,,
CUST-10476,8393.72,,,,,Default,0
CUST-11322,76402.58,,,,,,
CUST-10011,223933.57,kmorales@yahoo.com,Jermaine,Pending,367,,
CUST-11092,22740.45,,,,,Default,0
CUST-10088,97579.03,usmith@hotmail.com,Erica,Pending,592,,
CUST-10054,237835.26,leonedward@gmail.com,Gabriel,Verified,443,,
CUST-11337,165295.56,,,,,,
CUST-10461,169341.39,,,,,,
CUST-11392,235765.92,,,,,,
CUST-11185,207359.3,,,,,,
CUST-10923,15755.35,,,,,,
CUST-10885,222842.7,,,,,,
CUST-11176,41137.16,,,,,,
CUST-10056,6674.36,lorraineyoung@yahoo.com,Richard,Verified,474,,
CUST-11463,26910.3,,,,,Closed,0
CUST-11136,17527.29,,,,,,
CUST-11119,95982.88,,,,,,
CUST-10667,72030.63,,,,,,
CUST-11351,108342.61,,,,,Closed,0
CUST-10750,130157.54,,,,,,
CUST-10818,119052.87,,,,,,
CUST-11131,239687.46,,,,,Default,0
CUST-10379,138614.49,,,,,,
CUST-10917,58887.62,,,,,,
CUST-11250,182710.48,,,,,,
CUST-11225,238585.92,,,,,Active,300000
CUST-10956,4113.82,,,,,Active,300000
CUST-10334,147177.2,,,,,,
CUST-10182,50943.87,leedouglas@hotmail.com,Victoria,Verified,559,Default,0
CUST-10059,33104.28,richard65@gmail.com,Mary,Verified,713,,
CUST-11303,109837.36,,,,,,
CUST-11147,122666.48,,,,,,
CUST-10161,159030.15,dominicfields@gmail.com,Amber,Verified,408,,
CUST-10250,133209.93,,,,,,
CUST-11022,3166.31,,,,,,
CUST-11495,129148.61,,,,,,
CUST-11151,216559.27,,,,,,
CUST-11127,86191.29,,,,,,
CUST-11072,28200.34,,,,,Active,300000
CUST-10142,216270.94,tammyrios@hotmail.com,Michael,Verified,641,,
CUST-11462,127183.77,,,,,,
CUST-10252,195444.48,,,,,,
CUST-10332,9642.99,,,,,,
CUST-10172,107884.88,epotter@yahoo.com,Tammy,Pending,745,,
CUST-10451,82420.96,,,,,,
CUST-10062,95697.79,mvargas@yahoo.com,Allen,Verified,429,,
CUST-10602,239754.98,,,,,,
CUST-10456,133856.06,,,,,,
CUST-10014,40830.46,richard61@gmail.com,Lisa,Verified,302,,
CUST-10935,236159.24,,,,,,
CUST-10066,117098.21,vasqueztonya@hotmail.com,Lisa,Pending,311,,
CUST-11311,86142.34,,,,,,
CUST-11396,223880.5,,,,,,
CUST-11023,16467.62,,,,,,
CUST-10703,48593.41,,,,,Active,60000
CUST-11072,181726.94,,,,,Active,300000
CUST-10309,10491.8,,,,,,
CUST-10356,59434.6,,,,,,
CUST-11269,66250.78,,,,,,
CUST-10063,25902,zfrank@hotmail.com,Dana,Verified,612,,
CUST-11365,206502.99,,,,,,
CUST-10091,196564.03,morrisonjohn@hotmail.com,Jessica,Failed,585,,
CUST-10828,123296.83,,,,,,
CUST-10826,203316.99,,,,,,
CUST-10171,198901.58,jtaylor@hotmail.com,Carol,Verified,580,,
CUST-11023,162813.89,,,,,,
CUST-10020,80251.54,gortiz@gmail.com,Kim,Verified,342,,
CUST-11408,242347.45,,,,,,
CUST-10697,10694.6,,,,,,
CUST-10764,1200.01,,,,,,
CUST-10420,189562.19,,,,,,
CUST-10894,125135.12,,,,,,
CUST-11033,45432.22,,,,,,
CUST-11468,75450.04,,,,,,
CUST-10893,41114.33,,,,,,
CUST-10496,228454.85,,,,,,
CUST-10490,117567.25,,,,,,
CUST-10084,229176.04,robertsheather@gmail.com,Tracy,Pending,676,,
CUST-10356,776.97,,,,,,
CUST-10598,74828.42,,,,,,
CUST-11171,200041.86,,,,,Active,300000
CUST-11254,125406.06,,,,,Active,300000
CUST-11168,16154.55,,,,,,
CUST-11124,27746.05,,,,,Closed,0
CUST-11223,91318.49,,,,,,
CUST-10020,132937.53,gortiz@gmail.com,Kim,Verified,342,,
CUST-10235,224157.51,edwardgriffin@gmail.com,Samantha,Failed,350,,
CUST-11418,223098.52,,,,,,
CUST-11111,61419.01,,,,,Active,3000000
CUST-10928,215611.69,,,,,,
CUST-10568,228217.74,,,,,,
CUST-10326,14179.16,,,,,,
CUST-10129,144343.03,piercekathy@gmail.com,Michelle,Verified,603,,
CUST-11473,62965.34,,,,,,
CUST-10603,171198.11,,,,,,
CUST-10458,117155.65,,,,,,
CUST-10881,227881.63,,,,,,
CUST-10582,148680.78,,,,,,
CUST-11414,156838.15,,,,,Active,900000
CUST-11327,170522.58,,,,,,
CUST-10976,231882.22,,,,,Default,0
CUST-10296,132450.02,,,,,,
CUST-11194,45706.81,,,,,,
CUST-10557,221162,,,,,,
CUST-10073,108167.17,uanderson@hotmail.com,Tracy,Failed,458,,
CUST-11380,73377.18,,,,,Active,3000000
CUST-10595,84604.62,,,,,,
