customer_id,loan_type,loan_status,kyc_status,first_name,last_name
CUST-11146,Home,Active,,,
CUST-11019,Auto,Active,,,
CUST-11492,Personal,Closed,,,
CUST-10278,Home,Closed,Pending,Monique,Clark
CUST-11470,Personal,Default,,,
CUST-11050,Auto,Default,,,
CUST-11082,Personal,Closed,,,
CUST-10218,Personal,Active,Pending,Dillon,Turner
CUST-10317,Home,Default,,,
CUST-10029,Personal,Default,Failed,Brett,Hall
CUST-10836,Personal,Active,,,
CUST-11089,Home,Default,,,
CUST-10955,Home,Closed,,,
CUST-10482,Personal,Active,Pending,Jane,Vincent
CUST-10531,Home,Active,,,
CUST-10381,Personal,Closed,,,
CUST-10719,Personal,Default,,,
CUST-10760,Personal,Active,,,
CUST-10612,Home,Active,,,
CUST-10351,Home,Active,,,
CUST-10047,Personal,Closed,,,
CUST-10447,Personal,Active,,,
CUST-11205,Personal,Active,,,
CUST-10303,Auto,Closed,,,
CUST-11197,Home,Default,,,
CUST-11057,Auto,Default,,,
CUST-11455,Personal,Closed,,,
CUST-10560,Personal,Active,,,
CUST-10955,Personal,Closed,,,
CUST-10384,Auto,Closed,,,
CUST-10126,Home,Active,,,
CUST-10868,Personal,Active,,,
CUST-10859,Home,Active,,,
CUST-10799,Home,Closed,,,
CUST-11025,Home,Active,,,
CUST-10969,Home,Active,,,
CUST-10223,Home,Default,,,
CUST-10492,Personal,Closed,,,
CUST-11170,Home,Active,,,
CUST-10497,Home,Active,,,
CUST-11348,Home,Active,,,
CUST-11091,Auto,Active,,,
CUST-10175,Auto,Active,,,
CUST-10314,Auto,Active,,,
CUST-10023,Auto,Default,,,
CUST-10390,Personal,Active,,,
CUST-10140,Auto,Active,Verified,Michael,Lopez
CUST-10876,Personal,Default,,,
CUST-10577,Auto,Active,,,
CUST-10028,Home,Default,Verified,Steven,Lopez
CUST-10599,Home,Closed,,,
CUST-11341,Personal,Closed,,,
CUST-10841,Auto,Active,,,
CUST-10740,Auto,Active,,,
CUST-10484,Personal,Closed,,,
CUST-10226,Personal,Active,,,
CUST-11295,Home,Active,,,
CUST-10012,Auto,Active,,,
CUST-11072,Auto,Active,,,
CUST-10964,Home,Active,,,
CUST-10780,Personal,Active,,,
CUST-10421,Personal,Closed,,,
CUST-10225,Home,Active,Verified,Betty,Martin
CUST-10563,Auto,Active,,,
CUST-10791,Auto,Closed,,,
CUST-10474,Home,Default,,,
CUST-10958,Home,Default,,,
CUST-11209,Personal,Closed,,,
CUST-10617,Personal,Active,,,
CUST-10170,Home,Default,,,
CUST-10741,Home,Closed,,,
CUST-10483,Home,Active,Failed,Barry,Hubbard
CUST-10432,Auto,Active,,,
CUST-10434,Auto,Closed,Verified,Carlos,Stephens
CUST-11280,Home,Active,,,
CUST-10211,Home,Closed,,,
CUST-10251,Home,Closed,Verified,Michael,Ross
CUST-10005,Home,Active,Pending,Joseph,Gallagher
CUST-10388,Auto,Closed,Pending,Marc,Fowler
CUST-11254,Personal,Default,,,
CUST-11017,Auto,Active,,,
CUST-11224,Auto,Active,,,
CUST-11009,Personal,Default,,,
CUST-11212,Personal,Default,,,
CUST-10263,Home,Active,Verified,Lori,Hall
CUST-10230,Auto,Active,,,
CUST-10313,Home,Active,,,
CUST-10500,Home,Closed,,,
CUST-10176,Personal,Closed,,,
CUST-10944,Home,Closed,,,
CUST-11380,Personal,Active,,,
CUST-10850,Auto,Active,,,
CUST-10140,Personal,Closed,Verified,Michael,Lopez
CUST-11184,Home,Active,,,
CUST-10031,Auto,Active,Failed,Lindsey,Jones
CUST-10977,Auto,Default,,,
CUST-10500,Auto,Active,,,
CUST-10033,Home,Active,Failed,Jennifer,Young
CUST-10015,Personal,Active,,,
CUST-11186,Auto,Closed,,,
